,username,Text
71,0916_mia,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
72,bejomens,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
73,heisKingdavid,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
74,brvh_yogot,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
75,SunDominus,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
76,akaowkaowk,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
77,ABoudronikolas,"RT @DriveTeslaca: Permit found for the Edson, Alberta Tesla Supercharger...by @MarcoRPTesla https://t.co/6b0c1c8EBU"
78,AmponsahOrtin,"RT @Tesla: 6,000+ Superchargers across Europe — at 600 locations and counting!

📸 by @EPavlic, @MinimalDuck &amp; @_better_e https://t.co/Yf36H…"
79,OgYole,"RT @elonmusk: Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery"
80,1962HotWheeler,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
81,Cathalbell99,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
82,SastaElon,"RT @elonmusk: Powerwall 2 peak &amp; steady power capability is better than advertised. 

Now that we have lots of operational data, Tesla can…"
83,AdvKiwi,"@Teslarati Seems to be the only thing that's keeping Tesla alive, subsides and regulatory credits."
84,Bettsaisi1,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
85,OGLance_,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
86,autopromag,Tesla is only bundling solar products and Powerwall together going forward https://t.co/lYQ9mgzCWK
87,kaushqlk,"RT @alexgarcia_atx: Volkswagon, Ford, GM, Toyota, and BMW collectively spend $25B+ on advertising each year.

Tesla $0.

The result?

The m…"
88,Dinara42325674,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
89,OGbencozzy,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
90,JuanM255,"@ARS @placepermanent @jdelay_9 @nopeifyaltalt @elonmusk Oh wait, you're German. It all makes sense now. Go take a s… https://t.co/PH6GweVvO7"
91,joel_lopez32,"RT @elonmusk: Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery"
92,Moosunn,"RT @PostyXBT: Wanted a Tesla for years and I’m so grateful that crypto made it possible! 🙏

The grind has been real and I’ve loved being on…"
93,leeonardoz,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
94,rowlow_yup,@hokkaiduinu @forsbergio @Tesla @elonmusk Bar to high gg
95,erkannn027,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
96,PoolZwembad,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
97,AusTeslaOwners,"RT @elonmusk: Powerwall 2 peak &amp; steady power capability is better than advertised. 

Now that we have lots of operational data, Tesla can…"
98,morolswediu,"RT @MinuteArticle: Hear from us “EYING THE DRIVERLESS FUTURE”
https://t.co/tRV9b4190x
#minutearticle #ArtificialIntelligence #MachineLearni…"
99,cmichel83,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
